000367058;TISANA KELEMATA*OS POLV 80G;KELEMATA Srl;9,900;;5,200;;;8;;;;;;10;A06AB06
000367072;TISANA KELEMATA*20BUST 1,3G;KELEMATA Srl;9,900;;5,230;;;11;;;;;;10;A06AB06
000590012;RINAZINA*AD GTT 10ML 10MG 0,1%;HALEON ITALY Srl;12,200;;7,810;;;88;;;;;;10;R01AA08
000590051;RINAZINA*SPRAY NAS 15ML 0,1%;HALEON ITALY Srl;12,850;;7,890;;;1298;;;;;;10;R01AA08
001340025;BENADON*10CPR GASTRORES 300MG;TEOFARMA Srl;11,480;;7,360;;;14;;;;;;10;A11HA02
001578018;EURAX*CREMA DERM 20G 10%;EG SpA;11,200;;7,050;;;48;;;;;;10;D04AX
001740063;ALLERGAN*CREMA 30G 2G/100G;IBSA FARMACEUTICI ITALIA Srl;10,500;;4,650;;;1;;;;;;10;D04AA32
002516060;REACTIFARGAN*CREMA 20G 2%;KENVUE ITALIA SPA;14,040;;5,240;;;114;;;;;;10;D04AA10
002918050;ANTISPASMINA COLICA*FTE 30CPR;RECORDATI SpA;11,500;;5,420;;;23;;;;;;10;A03AD01
002955060;XAMAMINA MAL DI VIAG*6CPS 50MG;DOMPE' FARMACEUTICI SpA;10,000;;5,180;;;421;;;;;;10;R06AA11
002955108;XAMAMINA MAL DI VIAG*BB 6CPS;DOMPE' FARMACEUTICI SpA;10,000;;5,140;;;199;;;;;;10;R06AA11
003136025;VICKS INALANTE*RIN FL 1G;PROCTER & GAMBLE SRL;8,520;8001090317629;4,460;;;128;;;;;;10;R01AX10
003235049;COLLIRIO ALFA DEC*GTT FL 10ML;DOMPE' FARMACEUTICI SpA;10,900;;4,910;;;215;;;;;;10;S01GA01
003235076;COLLIRIO ALFA DEC*10CONT 0,3ML;DOMPE' FARMACEUTICI SpA;12,900;;5,430;;;90;;;;;;10;S01GA01
003311053;FENAZIL*POM 15G 2%;SELLA Srl;8,400;;4,450;;;11;;;;;;10;D04AA10
003410026;IMIDAZYL*COLL FL 10ML 0,1%;RECORDATI SpA;9,900;;3,370;;;176;;;;;;10;S01GA01
003452012;VALONTAN*AD 4CPR RIV 100MG;RECORDATI SpA;8,300;;4,310;;;2;;;;;;10;R06AA11
003452024;VALONTAN*AD 10CPR RIV 100MG;RECORDATI SpA;10,400;;5,310;;;9;;;;;;10;R06AA11
003803107;GLICEROVALEROVIT*50CPR RIV;TEOFARMA Srl;15,610;;10,010;;;3;;;;;;10;N05CX
003950019;ARGOTONE*GTT RINO 20ML 1%+0,9%;DOMPE' FARMACEUTICI SpA;9,500;;5,770;;;72;;;;;;10;R01AB05
003960046;BALSAMO ITALSTADIUM*UNG 50G;FALQUI PRODOTTI FARMAC. Srl;12,900;8002682601805;7,780;;;9;;;;;;10;M02AC
004123030;CORYFIN GOLA*20CPR OROD 0,25MG;SIT LABORATORIO FARMAC. Srl;8,200;;3,440;;;4;;;;;;10;R02AA02
004172021;ANTIREUMINA*10CPR;TEOFARMA Srl;6,310;;4,070;;;4;;;;;;10;N02BE51
004347011;RINOCIDINA*NAS GTT 15ML7,5+3MG;NEOPHARMED GENTILI SpA;10,000;;6,410;;;193;;;;;;10;R01AB02
004398018;OTALGAN*GTT OTO FL 6G;SWISS PHARMA GMBH;10,700;;4,760;;;307;;;;;;10;S02DA30
004558185;NEONISIDINA*12CPR;PHARMAIDEA Srl;7,900;;3,960;;;21;;;;;;10;N02BE51
004601023;ALKAEFFER*20CPR EFF;BAYER SpA;14,950;;9,600;;;4;;;;;;10;N02BA51
004642031;BENERVA*20CPR 300MG;TEOFARMA Srl;11,160;;7,190;;;26;;;;;;10;A11DA01
004758025;PURSENNID*40CPR RIV 12MG;HALEON ITALY Srl;13,400;;8,460;;;91;;;;;;10;A06AB06
004763114;ASPIRINA C*10CPR EFF 400+240MG;BAYER SpA;7,800;;4,320;;;605;;;;;;10;N02BA51
004763153;ASPIRINA*OS GRAT 10BUST400+240;BAYER SpA;8,200;;4,560;;;62;;;;;;10;N02BA51
004763330;ASPIRINA C*20CPR EFF 400+240MG;BAYER SpA;11,400;;6,350;;;388;;;;;;10;N02BA51
004763379;ASPIRINA RAPIDA*10CPRMAST500MG;BAYER SpA;8,000;;5,050;;;10;;;;;;10;N02BA01
004763405;ASPIRINA*OS GRAT 10BUST 500MG;BAYER SpA;7,750;;4,530;;;26;;;;;;10;N02BA01
004763544;ASPIRINA*OS GRAT 20BUST 500MG;BAYER SpA;12,800;;7,390;;;3;;;;;;10;N02BA01
004763619;ASPIRINA C*40CPR EFF 400+240MG;BAYER SpA;17,950;;10,330;;;113;;;;;;10;N02BA51
004844015;CEROTTO BERTELLI*MEDIO CM16X12;KELEMATA Srl;7,000;;3,990;;;12;;;;;;10;M02AB01
004844027;CEROTTO BERTELLI*GRANDECM16X24;KELEMATA Srl;9,900;;5,710;;;4;;;;;;10;M02AB01
004853014;VALERIANA DISPERT*30CPR 45MG;VEMEDIA PHARMA Srl;12,300;;5,250;;;99;;;;;;10;N05CM09
004853026;VALERIANA DISPERT*60CPR 45MG;VEMEDIA PHARMA Srl;14,300;;5,420;;;284;;;;;;10;N05CM09
004853038;VALERIANA DISPERT*100CPR 45MG;VEMEDIA PHARMA Srl;21,000;;7,960;;;20;;;;;;10;N05CM09
004853053;VALERIANA DISPERT*20CPR 125MG;VEMEDIA PHARMA Srl;16,300;;6,210;;;82;;;;;;10;N05CM09
004894010;ANTISETTICO ASTRINGENTE S*COLL;BRUSCHETTINI Srl;12,500;;7,700;;;27;;;;;;10;S01AB
004905131;PLACENTEX*CREMA 25G 0,08%;MASTELLI Srl;17,900;;11,020;;;5;;;;;;10;D03AX
004905143;PLACENTEX*SOL CUT 10F 0,75MG;MASTELLI Srl;21,950;;13,730;;;9;;;;;;10;D03AX
005170028;TRAVELGUM*10GOMME MAST 20MG;COOPER CONSUMER HEALTH BV;12,100;;5,700;;;138;;;;;;10;R06AA11
005259015;CALCIUM SANDOZ*20CPR EFF 500MG;SANDOZ SpA;10,120;;4,840;;;111;;;;;;10;A12AA20
005408024;BRUNIZINA*GTT NAS 10ML 0,2%;BRUSCHETTINI Srl;5,900;;3,520;;;31;;;;;;10;R01AA08
005556016;ORTODERMINA*CREMA 50G 5%;ALFASIGMA SpA;17,500;;8,020;;;14;;;;;;10;D04AB01
